credit_score,loan_amount,annual_income,employment_years,debt_to_income,loan_purpose,default
633,9044.92,95897.67,10.9,0.389,debt_consolidation,0
567,40724.53,47468.45,7.5,0.644,medical,1
720,8400.4,141583.47,0.9,0.287,auto,1
801,12032.61,79333.25,12.0,0.417,medical,0
619,33546.29,85580.01,17.9,0.11,business,0
588,7788.39,117269.02,6.2,0.555,medical,1
764,30906.84,88062.66,21.8,0.376,home_improvement,0
616,31545.2,77624.65,13.1,0.093,medical,0
789,16370.13,48636.09,19.8,0.068,debt_consolidation,0
661,10153.81,31246.56,7.3,0.211,medical,1
771,14699.29,115711.39,2.9,0.257,home_improvement,0
771,13196.26,81549.23,23.6,0.066,home_improvement,0
540,37897.41,72448.66,9.0,0.241,auto,1
578,35531.28,27692.06,4.4,0.183,business,1
536,29735.44,79256.94,16.4,0.099,medical,0
785,39671.47,120959.29,22.6,0.208,medical,0
639,24840.26,33052.97,0.8,0.21,business,1
657,28717.96,55388.02,11.1,0.317,debt_consolidation,0
634,5338.37,72927.94,18.4,0.219,auto,0
664,23915.11,54397.62,17.3,0.604,debt_consolidation,0
703,35331.14,33515.16,23.1,0.322,auto,0
804,5660.17,27479.68,14.1,0.431,auto,0
800,26885.57,27448.92,20.0,0.181,debt_consolidation,1
720,37705.3,134845.58,4.6,0.131,medical,0
712,6501.38,130237.89,18.8,0.282,debt_consolidation,0
769,15067.23,131109.21,18.2,0.502,debt_consolidation,1
809,37621.4,56351.57,9.8,0.583,business,0
756,15185.17,80984.6,12.5,0.431,auto,0
597,16152.1,41093.94,12.6,0.418,business,0
616,25898.78,122669.45,14.3,0.253,auto,0
542,2453.39,36052.89,11.4,0.1,home_improvement,0
545,35397.41,62339.87,2.9,0.489,medical,1
784,31094.18,48744.6,15.4,0.244,home_improvement,0
671,23669.22,80375.83,24.2,0.338,business,0
678,7620.86,112882.94,17.4,0.382,home_improvement,0
767,28009.02,114794.67,24.0,0.412,business,0
765,38332.69,91737.56,0.5,0.414,medical,1
723,3969.06,91741.84,23.9,0.385,medical,0
668,31800.64,121636.86,2.5,0.38,debt_consolidation,0
675,20216.34,104464.0,1.0,0.427,auto,0
778,25426.23,71578.22,16.0,0.603,medical,1
604,44216.58,68967.6,1.6,0.459,debt_consolidation,1
660,27517.38,99200.61,15.1,0.636,medical,0
566,7800.14,135848.68,21.0,0.222,debt_consolidation,0
773,13277.1,55868.06,13.1,0.127,medical,0
696,5976.21,145574.29,0.7,0.345,auto,0
755,39827.73,55208.81,12.7,0.073,auto,0
535,41702.78,95190.2,3.2,0.436,medical,0
774,44017.8,33078.76,20.7,0.485,debt_consolidation,0
768,34766.32,87077.05,18.0,0.18,debt_consolidation,0
579,44367.0,78927.56,22.2,0.632,business,1
811,2896.1,128988.64,20.4,0.231,debt_consolidation,0
791,18918.5,71426.82,19.0,0.509,medical,0
576,31729.55,28988.4,8.2,0.544,business,0
712,43113.4,57992.81,12.8,0.337,debt_consolidation,0
711,32975.85,57532.36,15.2,0.338,business,0
515,32201.47,53973.77,22.6,0.576,debt_consolidation,1
613,14889.35,65233.37,9.0,0.147,medical,0
584,2260.05,93368.06,11.6,0.492,auto,0
590,16092.65,42634.17,15.4,0.352,business,0
578,36209.32,83386.38,12.5,0.526,auto,0
716,24874.71,66062.16,5.4,0.089,home_improvement,0
626,36173.63,73335.89,24.3,0.477,home_improvement,1
594,4560.02,32062.84,15.8,0.278,medical,0
758,2297.55,47811.77,13.9,0.432,business,0
722,15719.39,117089.78,4.2,0.605,auto,0
569,43067.81,148929.65,11.6,0.323,business,0
805,14897.68,80835.89,11.6,0.109,debt_consolidation,0
732,10288.67,68180.72,0.3,0.312,medical,0
600,7434.85,122924.49,23.3,0.379,business,0
500,6858.14,98592.59,4.7,0.623,medical,1
530,43201.6,120874.75,1.0,0.182,business,0
609,24233.85,25806.65,11.5,0.336,medical,0
672,12487.19,27173.9,11.3,0.15,debt_consolidation,0
609,36332.25,74991.84,19.9,0.513,medical,1
741,16374.07,62699.97,16.1,0.439,debt_consolidation,0
630,25045.54,36272.6,2.7,0.611,auto,0
691,31669.98,140791.41,0.1,0.274,medical,0
638,43260.63,139716.78,22.3,0.611,medical,1
808,37598.59,108166.19,20.9,0.627,debt_consolidation,1
746,5098.65,35195.53,5.1,0.256,medical,0
625,4309.59,41589.01,6.3,0.387,home_improvement,0
503,39413.6,64297.63,9.4,0.349,home_improvement,1
796,35716.22,108745.62,16.4,0.143,medical,0
740,8233.57,42111.32,16.3,0.397,home_improvement,0
622,4683.01,56665.92,23.3,0.545,debt_consolidation,0
590,2043.26,98961.24,4.8,0.344,medical,1
815,38039.84,134334.96,5.8,0.608,business,0
713,43419.6,134768.16,11.2,0.186,medical,0
611,39608.36,146447.92,19.6,0.173,business,0
519,9513.73,148647.73,6.8,0.559,debt_consolidation,1
586,2675.46,35951.33,1.9,0.097,medical,0
690,35507.53,46765.43,9.6,0.078,home_improvement,0
762,21914.13,140418.87,8.9,0.463,medical,0
610,30881.73,30567.22,13.8,0.499,home_improvement,0
556,13606.44,94201.67,18.6,0.124,home_improvement,0
561,36059.3,47838.58,3.3,0.426,debt_consolidation,0
635,5454.5,55266.54,20.8,0.511,business,1
815,20949.28,101032.99,15.5,0.496,medical,0
566,26064.04,118572.93,11.6,0.257,auto,0
762,28139.28,38589.28,3.4,0.571,debt_consolidation,1
620,39996.93,91016.5,13.1,0.302,medical,0
644,18561.72,108884.9,22.0,0.409,debt_consolidation,0
760,34107.8,70155.36,23.7,0.428,auto,0
737,43137.85,67921.44,16.8,0.176,medical,0
812,23806.82,37702.5,20.2,0.469,home_improvement,0
631,21752.13,132916.29,4.3,0.605,medical,0
767,21748.88,27200.42,9.1,0.512,auto,0
818,25077.16,95187.03,3.5,0.507,business,0
774,17996.9,44509.57,0.6,0.357,auto,1
722,15114.83,88209.69,23.0,0.516,business,0
501,28332.59,81876.73,21.5,0.408,home_improvement,1
552,31659.65,28096.51,23.8,0.524,home_improvement,1
788,10975.81,53600.89,11.9,0.077,home_improvement,0
736,38070.7,139288.67,18.0,0.156,business,0
695,9917.87,79618.93,15.6,0.176,auto,0
554,5586.68,33562.65,8.3,0.343,home_improvement,0
539,4968.9,55872.68,7.3,0.17,business,0
669,27226.68,137149.87,15.1,0.489,auto,1
618,8094.94,83019.98,6.3,0.274,auto,0
817,24137.91,51724.27,13.0,0.37,auto,0
718,24853.28,109310.36,23.4,0.315,auto,0
596,11674.88,56021.1,16.2,0.153,home_improvement,1
682,31963.17,98108.79,14.3,0.338,home_improvement,0
706,40961.05,134738.02,3.4,0.588,business,0
638,17669.56,55822.56,7.4,0.272,auto,0
580,42121.55,28489.23,20.6,0.631,business,1
662,23539.53,61252.35,0.9,0.535,debt_consolidation,0
580,39022.17,140084.59,9.4,0.072,medical,0
791,26937.48,116291.07,0.8,0.409,debt_consolidation,0
578,11314.64,114446.33,11.9,0.12,business,1
807,40677.84,149852.66,24.2,0.085,business,0
617,37037.92,56751.23,22.9,0.132,home_improvement,1
642,16933.18,126033.19,9.6,0.39,medical,1
755,40816.32,141200.89,20.3,0.454,home_improvement,0
565,15698.31,25004.39,17.2,0.309,debt_consolidation,1
722,35650.3,136500.19,9.5,0.584,medical,0
534,16834.42,113808.91,15.4,0.135,debt_consolidation,0
779,17143.1,29581.27,17.2,0.223,medical,0
539,12525.43,31739.18,2.4,0.101,auto,0
654,23702.16,137928.96,11.6,0.143,home_improvement,0
684,31538.07,65725.97,12.7,0.58,auto,1
801,34821.74,111498.7,8.6,0.477,business,1
748,39099.18,40139.75,0.4,0.414,debt_consolidation,0
676,23996.44,90684.66,22.2,0.432,auto,0
590,10500.67,100509.6,7.7,0.523,debt_consolidation,1
801,4045.54,74249.03,22.1,0.23,debt_consolidation,0
797,4218.41,65829.37,23.1,0.254,home_improvement,0
720,42995.92,51214.09,14.6,0.486,debt_consolidation,1
720,21242.58,113770.96,4.8,0.184,auto,0
797,13777.8,108415.08,22.2,0.114,debt_consolidation,1
542,5235.11,109802.8,1.2,0.553,auto,1
776,26292.71,35956.24,14.9,0.585,medical,0
797,19532.52,56983.21,5.1,0.235,auto,0
633,16991.3,131601.81,19.7,0.415,home_improvement,0
782,7981.82,51964.4,18.3,0.386,medical,0
650,14922.58,63110.21,5.1,0.155,debt_consolidation,0
651,43105.59,109142.3,4.8,0.319,debt_consolidation,0
700,6149.08,82707.02,11.5,0.082,business,0
778,31438.15,100862.81,0.9,0.085,auto,0
803,15215.97,110721.13,17.6,0.249,auto,0
561,21807.46,135526.72,5.1,0.165,debt_consolidation,1
772,39029.48,88475.53,17.8,0.257,medical,0
513,17781.05,58169.95,1.6,0.369,medical,0
820,10140.16,61111.98,6.7,0.369,business,0
548,16432.55,25199.97,21.2,0.576,medical,1
721,22035.96,33220.3,4.6,0.334,medical,0
723,10094.24,85344.83,2.9,0.122,home_improvement,0
650,9279.46,137313.56,13.4,0.12,business,0
521,2005.34,33418.65,0.2,0.305,medical,0
696,7310.32,104077.82,11.0,0.125,auto,0
567,30816.89,123486.98,0.0,0.206,debt_consolidation,1
589,3380.0,96751.37,8.1,0.465,home_improvement,0
761,34148.7,134027.92,3.0,0.203,debt_consolidation,0
570,17410.53,100655.09,24.9,0.318,business,0
592,21627.85,38961.83,9.8,0.533,debt_consolidation,0
735,18844.25,148066.63,8.7,0.246,home_improvement,0
791,31904.11,122685.76,1.4,0.525,business,0
771,28742.97,104475.9,14.8,0.606,home_improvement,0
646,9456.03,71760.87,2.5,0.465,auto,0
602,31356.25,49723.2,7.0,0.496,business,0
565,26027.03,76767.3,17.7,0.066,business,0
588,25050.39,74331.91,4.7,0.13,auto,0
765,26602.73,36960.7,8.8,0.553,debt_consolidation,1
622,27833.2,100605.5,12.0,0.355,auto,1
768,36082.84,51036.21,20.9,0.118,home_improvement,1
662,2337.72,138456.98,18.2,0.2,home_improvement,0
528,35230.06,117717.33,10.7,0.618,home_improvement,1
624,29620.55,70635.42,10.4,0.546,home_improvement,0
568,36014.07,111146.02,12.2,0.519,medical,1
623,30633.42,141180.82,19.1,0.38,home_improvement,0
542,21739.48,49985.06,11.6,0.116,business,0
535,38309.86,50740.61,9.3,0.323,debt_consolidation,0
668,15912.44,118152.91,11.2,0.189,auto,0
725,20025.38,38877.63,21.1,0.092,debt_consolidation,1
806,8057.98,112729.37,15.3,0.505,medical,0
531,16777.5,44233.22,6.1,0.057,medical,0
710,9073.37,106694.52,11.8,0.393,medical,0
647,34894.79,31680.85,2.5,0.51,auto,0
794,37004.99,98322.49,22.4,0.24,auto,0
512,15002.75,131488.23,9.3,0.075,auto,0
635,20091.35,26835.21,20.1,0.591,business,0
700,7818.46,49824.34,15.8,0.088,auto,0
724,37797.1,92292.73,8.7,0.332,debt_consolidation,0
790,15941.09,132364.4,6.0,0.116,medical,0
635,4864.71,129902.12,22.4,0.649,medical,0
633,21547.54,81005.2,15.3,0.513,home_improvement,1
505,39542.89,112369.48,23.7,0.08,medical,0
556,12732.51,85119.12,12.9,0.403,medical,0
780,6014.7,37079.52,7.9,0.546,home_improvement,0
611,14719.98,46533.69,18.2,0.108,auto,0
515,10393.41,87738.93,1.3,0.562,home_improvement,1
522,30791.13,36620.6,0.7,0.119,auto,1
542,14876.62,127919.42,11.6,0.541,auto,0
613,38116.13,48493.4,13.6,0.056,business,1
590,43348.37,133572.42,12.1,0.641,business,1
513,29849.55,105117.68,14.2,0.259,home_improvement,0
600,16847.71,78998.0,17.8,0.163,debt_consolidation,0
689,5891.57,128172.52,4.5,0.364,business,0
653,30164.39,99251.36,22.3,0.144,debt_consolidation,0
803,31077.03,68089.51,14.0,0.439,business,1
599,19063.76,127656.52,7.2,0.534,medical,1
632,19929.69,79843.4,8.5,0.561,business,1
614,12917.7,101253.66,10.8,0.344,auto,0
725,2371.28,40793.85,5.8,0.382,auto,0
630,17787.89,75619.73,10.9,0.636,medical,0
682,42802.72,49291.24,3.6,0.547,business,0
739,28766.17,111265.11,11.3,0.12,home_improvement,0
651,6613.65,32624.35,15.0,0.617,auto,0
782,32482.59,90540.67,15.7,0.342,business,0
535,27491.05,119485.92,8.2,0.202,medical,1
608,32845.14,76492.11,24.5,0.572,medical,0
726,43165.08,135940.18,4.7,0.125,auto,0
707,15626.22,41685.9,10.6,0.185,medical,0
509,14679.45,90856.06,14.8,0.156,debt_consolidation,0
593,25911.86,39224.91,10.1,0.102,debt_consolidation,0
575,22069.45,120309.71,13.2,0.567,business,1
799,43438.74,79357.95,23.5,0.17,home_improvement,0
771,26416.46,39127.41,12.8,0.19,medical,0
742,43785.88,114934.42,4.3,0.19,business,0
663,3523.9,58492.72,2.8,0.503,home_improvement,0
552,42797.93,82382.85,17.2,0.378,medical,0
518,26098.81,83874.24,19.8,0.144,business,0
565,13366.55,104575.96,18.0,0.246,auto,0
667,21554.84,44347.43,12.4,0.582,business,1
638,26381.71,120016.79,2.2,0.45,business,0
576,12184.59,61806.17,13.1,0.607,business,0
817,42540.61,30715.56,17.3,0.507,debt_consolidation,0
524,37716.54,129276.43,20.7,0.322,home_improvement,0
811,21198.07,147762.52,1.6,0.113,auto,0
814,25210.28,59126.96,12.2,0.234,medical,0
630,31011.79,77150.48,7.8,0.074,debt_consolidation,0
645,31492.77,96629.29,23.3,0.473,business,0
807,7779.99,114137.52,13.6,0.466,debt_consolidation,0
614,31941.7,91459.61,14.1,0.247,medical,0
559,34336.12,42006.92,0.2,0.543,medical,1
810,27074.64,104230.13,17.5,0.502,medical,0
770,30667.09,50182.87,16.7,0.075,auto,0
536,31574.25,42586.27,17.1,0.566,debt_consolidation,1
779,5405.97,74719.33,17.5,0.112,home_improvement,0
549,31979.5,112568.92,9.6,0.544,medical,1
602,7074.2,143961.5,16.9,0.566,medical,0
720,8896.71,102993.07,3.4,0.311,debt_consolidation,0
604,39691.39,125512.99,1.0,0.249,home_improvement,0
525,11424.31,106595.27,6.8,0.105,home_improvement,1
594,26348.74,94857.28,11.0,0.053,debt_consolidation,0
793,2462.71,75137.59,1.0,0.461,home_improvement,1
510,6038.31,25865.16,9.1,0.433,home_improvement,1
735,41071.99,137523.04,10.4,0.239,home_improvement,0
732,9660.43,84358.05,17.4,0.449,debt_consolidation,0
652,37470.27,102538.59,8.7,0.183,debt_consolidation,0
702,28278.29,47085.76,9.1,0.572,medical,1
525,12126.51,111703.73,16.8,0.314,debt_consolidation,0
538,42353.73,120748.78,4.0,0.449,business,0
533,14221.87,60100.2,0.5,0.431,business,0
726,35095.12,43633.76,11.3,0.315,medical,1
635,9824.45,119234.83,1.3,0.637,auto,0
666,31576.1,138266.37,22.0,0.321,auto,0
543,34945.0,80129.4,9.8,0.178,auto,0
615,12444.83,70604.55,14.8,0.646,auto,0
599,2039.76,32181.66,24.3,0.211,business,1
532,9383.9,141461.99,12.6,0.587,business,1
759,32715.77,37479.6,2.1,0.229,auto,1
660,23618.18,131617.22,0.6,0.43,business,0
661,38333.13,115895.17,20.8,0.227,debt_consolidation,0
509,31545.1,90825.79,3.2,0.576,business,0
791,18078.46,30244.13,21.5,0.484,debt_consolidation,0
531,25401.84,144500.55,4.0,0.055,medical,1
754,42476.25,148877.09,21.8,0.061,auto,0
610,12201.61,34976.3,22.6,0.642,home_improvement,1
756,32745.92,105898.55,17.4,0.377,home_improvement,0
635,25799.59,46343.54,20.9,0.528,home_improvement,0
761,28418.73,142245.11,15.2,0.337,medical,0
501,33467.34,142087.37,11.4,0.117,business,1
753,32766.15,54223.43,18.6,0.23,business,0
562,39286.25,53492.64,20.1,0.145,home_improvement,1
673,18590.76,91714.0,15.8,0.236,home_improvement,0
767,15614.4,60517.89,24.7,0.318,auto,0
670,29916.56,133102.17,1.6,0.492,medical,0
521,33993.79,99554.01,7.9,0.309,medical,0
798,21474.25,53728.86,9.2,0.061,home_improvement,0
529,27220.6,76089.61,19.0,0.31,auto,1
564,23726.25,86175.64,5.9,0.472,debt_consolidation,1
708,7417.87,100074.28,2.8,0.415,business,0
792,14930.31,63532.79,10.6,0.081,debt_consolidation,0
663,26414.26,139761.59,5.1,0.466,auto,0
716,10799.38,55029.86,10.6,0.105,business,0
556,29051.39,78499.47,24.4,0.615,business,0
638,42833.86,143021.99,21.9,0.115,debt_consolidation,0
779,5792.34,111786.6,4.1,0.605,auto,0
754,26280.58,93447.18,15.3,0.495,home_improvement,0
765,27712.07,90025.83,5.9,0.224,debt_consolidation,0
725,4198.63,51014.25,18.7,0.077,business,0
798,29063.24,94115.53,19.5,0.347,business,0
604,9390.77,44617.03,2.7,0.624,medical,0
795,8488.3,132445.65,3.0,0.419,home_improvement,0
650,43330.42,104441.24,3.4,0.222,business,0
548,18462.07,126904.77,0.2,0.356,home_improvement,1
653,2801.61,26092.19,11.7,0.626,debt_consolidation,1
651,8290.24,67766.14,13.4,0.06,home_improvement,0
790,3464.17,49747.22,17.9,0.486,home_improvement,1
663,7358.76,41538.04,15.6,0.435,business,0
588,38663.39,110952.42,22.8,0.34,medical,1
768,11005.79,69243.17,24.1,0.152,auto,0
648,32795.42,73891.22,20.7,0.482,debt_consolidation,0
795,17761.17,98707.48,1.1,0.301,business,0
521,15487.55,28817.36,0.8,0.492,business,1
724,2472.07,88830.49,8.3,0.534,auto,0
688,15554.43,135760.89,16.2,0.317,debt_consolidation,0
517,36399.44,79823.29,3.5,0.476,business,1
524,5031.21,113033.3,5.6,0.392,business,0
686,20912.7,80246.3,5.4,0.548,auto,0
676,22219.35,125136.77,5.5,0.635,auto,1
753,36209.61,37033.17,16.4,0.31,medical,1
606,35778.41,62198.48,12.0,0.56,business,1
515,11401.66,29419.7,3.0,0.432,auto,0
720,21576.8,67170.11,18.7,0.511,medical,0
702,41766.96,131053.56,11.2,0.577,auto,1
569,24596.02,66370.1,1.3,0.512,business,0
528,11260.38,74316.71,5.4,0.616,medical,0
530,38336.15,117530.53,24.9,0.12,auto,1
630,27488.72,40286.12,16.3,0.304,business,0
560,6971.07,118825.77,0.4,0.468,auto,1
622,7363.7,34369.23,13.0,0.434,debt_consolidation,1
529,13836.67,129267.74,6.5,0.402,business,0
787,27758.13,137665.1,8.2,0.296,medical,0
743,22233.2,75665.4,7.2,0.406,medical,0
819,30361.51,58956.76,10.1,0.26,debt_consolidation,1
811,44268.94,112866.0,11.2,0.15,business,0
787,7347.68,89172.4,16.8,0.208,auto,0
747,17953.96,32743.35,17.7,0.482,auto,1
602,28148.94,43181.83,1.4,0.493,home_improvement,1
766,5196.97,74801.63,15.8,0.464,business,0
797,26132.69,54214.33,10.0,0.626,home_improvement,1
528,33120.58,42086.54,24.2,0.647,medical,0
816,21649.02,89957.19,21.7,0.564,business,1
724,44969.27,36640.05,24.4,0.163,auto,1
780,16019.69,114678.66,9.3,0.235,auto,0
679,6444.02,36978.39,4.3,0.209,business,0
789,22270.41,121228.48,19.3,0.362,medical,0
689,22987.8,52832.93,7.8,0.304,medical,0
632,22029.53,78517.81,11.9,0.264,auto,0
628,14817.27,85124.51,14.5,0.166,auto,0
504,24104.32,68090.09,1.3,0.282,business,1
535,43875.53,138040.66,3.5,0.458,home_improvement,0
768,42392.29,85022.96,17.2,0.117,medical,0
764,35885.67,76248.46,11.0,0.492,home_improvement,0
726,28224.15,39676.63,17.5,0.463,auto,0
771,27404.25,102379.45,4.7,0.058,auto,0
608,2269.39,70596.52,4.4,0.525,auto,1
779,26204.29,143540.53,12.0,0.568,debt_consolidation,0
600,11421.86,88206.15,17.8,0.606,medical,0
586,36396.57,47294.27,20.6,0.14,debt_consolidation,1
764,25450.31,66478.13,19.8,0.487,medical,0
526,24355.76,34448.41,3.9,0.283,debt_consolidation,1
814,40571.56,100714.86,5.6,0.502,home_improvement,1
640,40906.93,25138.81,9.0,0.242,home_improvement,0
694,37045.72,64955.34,6.1,0.548,debt_consolidation,0
669,4572.9,144925.53,20.3,0.355,home_improvement,0
749,33302.48,70339.73,21.7,0.183,business,0
790,9028.25,147999.91,11.6,0.347,home_improvement,0
773,43565.21,43321.9,8.1,0.301,debt_consolidation,0
612,27223.82,91504.94,6.6,0.161,debt_consolidation,0
747,28271.88,80989.79,16.1,0.154,medical,1
774,39082.67,85529.47,3.8,0.444,business,0
640,39669.12,109548.77,21.9,0.417,home_improvement,0
748,13034.63,124350.85,20.1,0.234,home_improvement,0
694,39147.48,26608.34,23.3,0.576,auto,0
664,3117.04,65007.17,18.1,0.619,medical,1
803,35738.75,99686.42,4.2,0.112,auto,0
682,18820.48,115648.98,4.8,0.265,business,1
812,33712.93,37867.05,7.5,0.084,home_improvement,0
541,22369.24,120174.03,1.9,0.353,debt_consolidation,1
686,41702.47,111123.7,22.0,0.267,medical,0
791,12502.46,149250.4,19.4,0.551,debt_consolidation,0
603,29189.72,40829.22,9.1,0.274,business,0
615,39183.85,83988.75,4.8,0.484,auto,0
655,8473.39,30046.46,6.6,0.472,debt_consolidation,0
595,15286.65,75183.07,19.1,0.393,business,1
772,44913.52,98457.55,9.1,0.061,debt_consolidation,0
755,30335.99,63899.06,21.7,0.622,auto,0
542,9041.49,111226.51,16.8,0.418,medical,0
529,29224.52,120088.43,14.5,0.649,auto,0
725,34937.69,55056.42,0.2,0.209,debt_consolidation,0
620,37217.28,61332.69,18.1,0.621,medical,1
647,21753.0,91850.86,2.5,0.212,home_improvement,0
720,15972.04,141722.74,9.8,0.636,home_improvement,0
641,20838.89,47797.01,1.4,0.139,business,1
693,5592.15,51680.38,18.0,0.147,home_improvement,0
576,10823.37,87781.45,11.7,0.263,business,0
730,40474.96,98907.12,13.0,0.224,medical,0
611,44419.49,60488.9,4.4,0.094,home_improvement,0
652,12789.21,134139.67,9.8,0.146,medical,0
705,29651.5,136437.45,23.3,0.16,auto,0
618,32099.66,78687.16,3.5,0.218,home_improvement,0
521,30005.88,142703.02,6.9,0.222,auto,0
813,7434.87,106537.45,11.1,0.135,debt_consolidation,0
609,14722.46,149723.91,10.9,0.415,business,0
753,24912.96,136665.3,6.4,0.5,medical,1
808,7837.07,149496.1,13.1,0.603,home_improvement,0
563,5793.3,145048.24,11.4,0.608,auto,1
595,43387.74,49544.82,12.0,0.413,medical,0
580,10617.17,145025.3,23.5,0.456,debt_consolidation,1
663,34109.84,116174.9,1.2,0.429,home_improvement,0
663,16523.05,80227.45,13.8,0.23,auto,0
766,35161.92,133098.0,16.4,0.465,medical,0
576,21292.98,32541.56,11.2,0.348,medical,1
776,21164.52,86278.27,12.1,0.647,medical,0
567,38191.58,54587.34,23.9,0.327,medical,1
814,26863.19,60217.22,7.0,0.053,medical,0
639,5969.21,121757.65,19.6,0.525,debt_consolidation,0
617,2080.17,31728.74,3.7,0.289,debt_consolidation,0
533,17342.74,100431.48,13.3,0.503,debt_consolidation,1
698,41778.19,28366.92,1.2,0.164,auto,0
786,26737.62,86799.56,10.9,0.152,auto,0
611,39261.84,47774.81,15.1,0.232,medical,1
801,36904.74,72658.47,21.8,0.448,debt_consolidation,0
802,44922.43,60309.1,5.5,0.349,business,0
600,10709.5,136607.46,17.8,0.62,debt_consolidation,0
680,40206.04,93159.37,7.4,0.149,home_improvement,0
587,29843.12,125816.66,8.3,0.127,home_improvement,1
780,12079.87,60564.85,18.6,0.392,home_improvement,0
733,19651.83,78985.8,18.4,0.094,auto,0
608,42975.26,134095.59,20.4,0.464,home_improvement,1
693,26501.05,109079.69,8.5,0.103,medical,0
632,11073.74,145393.44,9.3,0.589,business,1
727,8207.22,144802.46,5.7,0.621,medical,0
565,10690.86,101452.07,5.3,0.142,medical,0
536,29660.78,95186.86,6.9,0.479,debt_consolidation,1
732,29413.11,72195.22,0.3,0.593,medical,0
549,13111.68,49548.75,4.8,0.25,business,0
689,10116.39,144588.62,21.1,0.236,home_improvement,0
597,44405.86,111713.34,22.5,0.241,business,1
